Unique_Rough_label,Label
None,NA
missing,NA
seafood (corb shell),Environemt
seafood,Environemt
shrimp,Environemt
oyster,Environemt
stool,Clinical
water,Environemt
big eye fish,Environemt
salmon sashimi,Environemt
Stomach of Penaeus vannamei juvenile,Environemt
wound,Clinical
environment,Environemt
ear,Clinical
clam,Environemt
environment gulf coast,Environemt
stomach,Clinical
sediment,Environemt
EMS/AHPND-diseased hepatopancreas,Environemt
shrimp pond,Environemt
shrimp pond sediment,Environemt
oyster sample,Environemt
water sample,Environemt
stool sample,Clinical
plankton sample,Environemt
clinical sample,Clinical
not collected,NA
unknown,NA
not applicable,NA
clinical patient,Clinical
aquaculture environment,Environemt
oysters,Environemt
environmental,Environemt
Mollusc,Environemt
Canada,Environemt
Mollusk,Environemt
Clam,Environemt
Oyster,Environemt
Imported Shrimp,Environemt
littoral Pacific Ocean Southern Chile,Environemt
"human with diarrhea assosiated with seafood cunsumption, Hospital General",Clinical
"human with diarrhea assosiated with seafood cunsumption, Pacific Ocean Coast Northern Chile",Clinical
"human with diarrhea assosiated with seafood cunsumption, Quarantine station Kansai Airport",Clinical
Mussel,Environemt
cutting board,Environemt
aquarium water,Environemt
human,Clinical
Sea-food,Environemt
shirasu,Environemt
clinical sample from patient with gastroenteritis,Clinical
patient,Clinical
Crab Marinated in Soy Sauce,Environemt
sea-bass,Environemt
clinical,Clinical
feces,Clinical
fish,Environemt
aquaculture pond,Environemt
sample from a sick person,Environemt
Atlantic coast,Environemt
hemolymph,Clinical
hepatopancrease,Clinical
Stewed chicken,Environemt
Stewed meat,Environemt
Roast duck,Environemt
Cold noodle,Environemt
Frozen shrimp,Environemt
Plain boiled chicken,Environemt
Grouper fish,Environemt
Aquaculture environmental,Environemt
water from the South Atlantic Bight,Environemt
AHPND infected pond water,Environemt
Aquaculture,Environemt
hepatopancreas,Environemt
Aquaculture pond water,Environemt
Shrimp farm,Environemt
shrimp (food),Environemt
Unknown,NA
Estuary,Environemt
seawater,Environemt
Cold dish,Environemt
Shredded chicken,Environemt
Spiced duck,Environemt
Shellfish,Environemt
Miniatus Grouper,Environemt
Turbot,Environemt
hairtail,Environemt
clinic,Clinical
black carp,Environemt
market,Environemt
anal swab,Clinical
Penaeus vannamei,Environemt
clinical isolate,Clinical
Missing,NA
Oral Swab,Clinical
Not applicable,NA
AHPND infected Litopenaeus vannamei,Environemt
AHPND infected Penaeus japonicus,Environemt
estuary,Environemt
crayfish,Environemt
Marsh seawater,Environemt
laboratory sample,NA
Diseased Shrimp,Environemt
Rectal Swab,Clinical
food,Environemt
swab,Clinical
imported seafood from Vietnam,Environemt
imported seafood from Thailand,Environemt
laboratory,NA
Penaeus vannamei (Whiteleg shrimp),Environemt
crabs,Environemt
shrimps,Environemt
mussels,Environemt
seawater layers,Environemt
shoreline saltwater,Environemt
gut,Environemt
Continental Water,Environemt
estuarine water,Environemt
marine water,Environemt
Aquatic bird feces,Environemt
Shrimps,Environemt
Anal swab,Clinical
sour bean,Environemt
envrionmental,Environemt
Imported/domestic retail Mussels,Environemt
Imported/domestic retail Oyster,Environemt
raw shrimp,Environemt
Clams,Environemt
marine,Environemt
marine net tow,Environemt
Public Health Laboratory,Clinical
the shrimp farm in eastern Thailand,Environemt
"fresh seafood sold at markets and supermarkets located in Bangkok, Thailand",Environemt
The shrimp farm in North Vietnam,Environemt
visceral,Environemt
seawater from white shrimp (Litopenaeus vannamei) tank,Environemt
Shrimp Culture Pond,Environemt
shellfish,Environemt
Litopenaeus vannamei,Environemt
-,Clinical
Sea water,Environemt
shrimp farm,Environemt